Organisation,Launch Pad,Launch Center,Launch State,Launch Country,Month,Year
RVSN USSR,Site 90/19,Baikonur Cosmodrome,,Kazakhstan,Feb,1982
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Jan,1982
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Jan,1982
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jan,1982
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jan,1982
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Dec,1981
ESA,ELV-1 (SLV),Guiana Space Centre,French Guiana,France,Dec,1981
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Dec,1981
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Dec,1981
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Dec,1981
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Dec,1981
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Dec,1981
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Nov,1981
RVSN USSR,Site 107/1,Kapustin Yar,,Russia,Nov,1981
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Nov,1981
NASA,LC-39A,Kennedy Space Center,Florida,USA,Nov,1981
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Oct,1981
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Oct,1981
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Oct,1981
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Oct,1981
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Sep,1981
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Sep,1981
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Sep,1981
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Sep,1981
CASC,Site 138 (LA-2B),Jiuquan Satellite Launch Center,,China,Sep,1981
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Sep,1981
RVSN USSR,Site 90/19,Baikonur Cosmodrome,,Kazakhstan,Sep,1981
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Sep,1981
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Sep,1981
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Aug,1981
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Aug,1981
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Aug,1981
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Aug,1981
MHI,LA-Y1,Tanegashima Space Center,,Japan,Aug,1981
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Aug,1981
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Aug,1981
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Aug,1981
RVSN USSR,Site 90/19,Baikonur Cosmodrome,,Kazakhstan,Aug,1981
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Aug,1981
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jul,1981
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Jun,1981
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Jun,1981
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Jun,1981
ESA,ELV-1 (SLV),Guiana Space Centre,French Guiana,France,Jun,1981
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Jun,1981
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jun,1981
ISRO,SLV LP,Satish Dhawan Space Centre,,India,May,1981
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,May,1981
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,May,1981
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,May,1981
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,May,1981
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Apr,1981
NASA,LC-39A,Kennedy Space Center,Florida,USA,Apr,1981
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Apr,1981
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Mar,1981
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Mar,1981
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Mar,1981
RVSN USSR,Site 90/19,Baikonur Cosmodrome,,Kazakhstan,Mar,1981
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Mar,1981
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Mar,1981
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Mar,1981
RVSN USSR,Site 90/19,Baikonur Cosmodrome,,Kazakhstan,Mar,1981
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Feb,1981
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Feb,1981
ISAS,Mu Pad,Uchinoura Space Center,,Japan,Feb,1981
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,Feb,1981
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Feb,1981
MHI,LA-Y1,Tanegashima Space Center,,Japan,Feb,1981
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Feb,1981
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Feb,1981
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Jan,1981
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Jan,1981
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Jan,1981
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Jan,1981
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Jan,1981
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Jan,1981
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Dec,1980
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Dec,1980
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Dec,1980
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Dec,1980
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Dec,1980
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Dec,1980
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Dec,1980
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Dec,1980
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Nov,1980
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Nov,1980
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Nov,1980
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Nov,1980
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Oct,1980
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Oct,1980
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Oct,1980
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Sep,1980
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Aug,1980
RVSN USSR,Site 107/1,Kapustin Yar,,Russia,Jul,1980
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Jul,1980
ISRO,SLV LP,Satish Dhawan Space Centre,,India,Jul,1980
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jul,1980
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Jul,1980
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jul,1980
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Jun,1980
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Jun,1980
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jun,1980
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Jun,1980
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Jun,1980
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Jun,1980
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,May,1980
ESA,ELV-1 (SLV),Guiana Space Centre,French Guiana,France,May,1980
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,May,1980
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,May,1980
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Apr,1980
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Apr,1980
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Apr,1980
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Apr,1980
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Apr,1980
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Apr,1980
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Mar,1980
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Mar,1980
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Mar,1980
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Mar,1980
MHI,LA-Y1,Tanegashima Space Center,,Japan,Feb,1980
ISAS,Mu Pad,Uchinoura Space Center,,Japan,Feb,1980
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Feb,1980
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Feb,1980
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Feb,1980
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Feb,1980
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Jan,1980
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jan,1980
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,Jan,1980
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Jan,1980
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jan,1980
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Jan,1980
ESA,ELV-1 (SLV),Guiana Space Centre,French Guiana,France,Dec,1979
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Dec,1979
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Nov,1979
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Nov,1979
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Nov,1979
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Oct,1979
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Oct,1979
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Oct,1979
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Oct,1979
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Oct,1979
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Oct,1979
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Sep,1979
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Sep,1979
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Aug,1979
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Aug,1979
ISRO,SLV LP,Satish Dhawan Space Centre,,India,Aug,1979
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Jul,1979
CASC,Site 138 (LA-2B),Jiuquan Satellite Launch Center,,China,Jul,1979
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Jul,1979
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Jul,1979
RVSN USSR,Site 107/1,Kapustin Yar,,Russia,Jul,1979
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Jun,1979
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Jun,1979
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Jun,1979
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Jun,1979
RVSN USSR,Site 107/1,Kapustin Yar,,Russia,Jun,1979
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Jun,1979
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,May,1979
US Air Force,SLC-4W,Vandenberg AFB,California,USA,May,1979
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,May,1979
RVSN USSR,Site 90/19,Baikonur Cosmodrome,,Kazakhstan,Apr,1979
RVSN USSR,Site 90/19,Baikonur Cosmodrome,,Kazakhstan,Apr,1979
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Apr,1979
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Apr,1979
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Apr,1979
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Apr,1979
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Mar,1979
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Mar,1979
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Mar,1979
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Mar,1979
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Feb,1979
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Feb,1979
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Feb,1979
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Feb,1979
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Feb,1979
MHI,LA-Y1,Tanegashima Space Center,,Japan,Feb,1979
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jan,1979
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Jan,1979
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Jan,1979
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Dec,1978
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Dec,1978
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Dec,1978
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Dec,1978
RVSN USSR,Site 107/1,Kapustin Yar,,Russia,Dec,1978
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Dec,1978
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Dec,1978
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Dec,1978
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Dec,1978
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Dec,1978
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Dec,1978
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Dec,1978
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Dec,1978
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Dec,1978
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Nov,1978
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Nov,1978
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Nov,1978
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Nov,1978
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Nov,1978
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Nov,1978
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Oct,1978
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Oct,1978
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Oct,1978
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Oct,1978
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Oct,1978
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Oct,1978
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Oct,1978
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Oct,1978
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Oct,1978
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Oct,1978
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Oct,1978
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Sep,1978
ISAS,Mu Pad,Uchinoura Space Center,,Japan,Sep,1978
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Sep,1978
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Sep,1978
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Aug,1978
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Aug,1978
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Aug,1978
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Aug,1978
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Aug,1978
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jul,1978
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Jul,1978
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Jun,1978
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Jun,1978
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Jun,1978
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Jun,1978
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Jun,1978
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Jun,1978
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Jun,1978
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Jun,1978
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jun,1978
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Jun,1978
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Jun,1978
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,May,1978
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,May,1978
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,May,1978
RVSN USSR,Site 90/19,Baikonur Cosmodrome,,Kazakhstan,May,1978
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,May,1978
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,May,1978
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,May,1978
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,May,1978
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,May,1978
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,May,1978
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Apr,1978
CASC,Site 138 (LA-2B),Jiuquan Satellite Launch Center,,China,Apr,1978
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Apr,1978
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Apr,1978
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Mar,1978
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Mar,1978
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Mar,1978
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Mar,1978
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Mar,1978
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Mar,1978
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Mar,1978
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Mar,1978
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Mar,1978
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Mar,1978
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Mar,1978
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Feb,1978
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Feb,1978
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Feb,1978
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Feb,1978
MHI,LA-Y1,Tanegashima Space Center,,Japan,Feb,1978
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Feb,1978
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Feb,1978
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Feb,1978
ISAS,Mu Pad,Uchinoura Space Center,,Japan,Feb,1978
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Jan,1978
CASC,Site 138 (LA-2B),Jiuquan Satellite Launch Center,,China,Jan,1978
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jan,1978
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Jan,1978
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Jan,1978
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Jan,1978
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jan,1978
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Jan,1978
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Jan,1978
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Jan,1978
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Dec,1977
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Dec,1977
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Dec,1977
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Dec,1977
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Dec,1977
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Dec,1977
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Dec,1977
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Dec,1977
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Dec,1977
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Dec,1977
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Dec,1977
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Dec,1977
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Dec,1977
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Dec,1977
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Nov,1977
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Nov,1977
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Oct,1977
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Oct,1977
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Oct,1977
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Oct,1977
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Oct,1977
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Oct,1977
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Oct,1977
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Sep,1977
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Sep,1977
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Sep,1977
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Sep,1977
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Sep,1977
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Sep,1977
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Sep,1977
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Sep,1977
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Sep,1977
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Sep,1977
CASC,Site 138 (LA-2B),Jiuquan Satellite Launch Center,,China,Sep,1977
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Sep,1977
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Sep,1977
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Sep,1977
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Sep,1977
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Sep,1977
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Aug,1977
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Aug,1977
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Aug,1977
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Aug,1977
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Aug,1977
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Aug,1977
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Aug,1977
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Aug,1977
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Aug,1977
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Jul,1977
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Jul,1977
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Jul,1977
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jul,1977
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Jul,1977
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jul,1977
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Jul,1977
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Jul,1977
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jul,1977
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Jul,1977
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,Jul,1977
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,Jul,1977
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,Jun,1977
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jun,1977
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Jun,1977
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,Jun,1977
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jun,1977
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Jun,1977
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jun,1977
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,Jun,1977
